Date,Close,Open,High,Low,Volume
3/1/2012, $60.33 , $59.97 , $61.06 , $59.87 ,"12,668,774"
4/1/2012, $59.71 , $60.21 , $60.35 , $59.47 ,"9,593,915"
5/1/2012, $59.42 , $59.35 , $59.62 , $58.37 ,"12,768,202"
6/1/2012, $59.00 , $59.42 , $59.45 , $58.87 ,"8,069,504"
9/1/2012, $59.18 , $59.03 , $59.55 , $58.92 ,"6,679,713"
10/1/2012, $59.04 , $59.43 , $59.71 , $58.98 ,"6,907,461"
11/1/2012, $59.40 , $59.06 , $59.53 , $59.04 ,"6,370,659"
12/1/2012, $59.50 , $59.79 , $60.00 , $59.40 ,"7,236,378"
13/1/2012, $59.54 , $59.18 , $59.61 , $59.01 ,"7,729,222"
17/1/2012, $59.85 , $59.87 , $60.11 , $59.52 ,"8,499,938"
18/1/2012, $60.01 , $59.79 , $60.03 , $59.65 ,"5,911,327"
19/1/2012, $60.61 , $59.93 , $60.73 , $59.75 ,"9,234,851"
20/1/2012, $61.01 , $60.75 , $61.25 , $60.67 ,"10,382,040"
23/1/2012, $60.91 , $60.81 , $60.98 , $60.51 ,"7,134,026"
24/1/2012, $61.39 , $60.75 , $62.00 , $60.75 ,"7,371,375"
25/1/2012, $61.47 , $61.18 , $61.61 , $61.04 ,"5,915,713"
26/1/2012, $60.97 , $61.80 , $61.84 , $60.77 ,"7,436,168"
27/1/2012, $60.71 , $60.86 , $61.12 , $60.54 ,"6,287,253"
30/1/2012, $61.30 , $60.47 , $61.32 , $60.35 ,"7,637,547"
31/1/2012, $61.36 , $61.53 , $61.57 , $60.58 ,"9,764,529"
1/2/2012, $62.18 , $61.79 , $62.63 , $61.79 ,"12,131,010"
2/2/2012, $61.94 , $62.40 , $62.47 , $61.82 ,"6,211,353"
3/2/2012, $62.03 , $62.32 , $62.43 , $61.70 ,"7,727,175"
6/2/2012, $61.88 , $61.85 , $61.98 , $61.70 ,"5,480,554"
7/2/2012, $61.69 , $61.62 , $61.90 , $61.62 ,"6,093,712"
8/2/2012, $61.62 , $61.91 , $62.02 , $61.23 ,"7,268,649"
9/2/2012, $61.96 , $61.58 , $62.16 , $61.58 ,"6,453,043"
10/2/2012, $61.90 , $61.68 , $61.91 , $61.39 ,"5,501,098"
13/2/2012, $61.79 , $62.01 , $62.08 , $61.73 ,"4,174,905"
14/2/2012, $62.22 , $61.91 , $62.24 , $61.79 ,"5,173,275"
15/2/2012, $61.76 , $62.32 , $62.44 , $61.59 ,"5,833,642"
16/2/2012, $62.04 , $61.77 , $62.19 , $61.70 ,"7,259,361"
17/2/2012, $62.48 , $62.32 , $62.57 , $61.91 ,"8,192,923"
21/2/2012, $60.07 , $60.33 , $60.50 , $59.67 ,"23,896,168"
22/2/2012, $58.60 , $59.58 , $59.91 , $58.37 ,"28,630,841"
23/2/2012, $58.54 , $58.59 , $58.90 , $58.21 ,"14,880,315"
24/2/2012, $58.79 , $58.75 , $58.95 , $58.50 ,"9,925,842"
27/2/2012, $58.46 , $58.70 , $58.78 , $58.29 ,"12,263,756"
28/2/2012, $58.93 , $58.44 , $59.10 , $58.35 ,"10,761,897"
29/2/2012, $59.08 , $58.84 , $59.33 , $58.72 ,"11,486,359"
1/3/2012, $58.82 , $59.36 , $59.42 , $58.64 ,"16,285,674"
2/3/2012, $59.01 , $58.99 , $59.28 , $58.80 ,"9,858,283"
5/3/2012, $59.40 , $58.96 , $59.59 , $58.75 ,"9,650,954"
6/3/2012, $58.97 , $59.04 , $59.22 , $58.75 ,"9,057,281"
7/3/2012, $59.86 , $59.11 , $59.86 , $59.11 ,"14,916,900"
8/3/2012, $59.77 , $59.84 , $59.95 , $59.45 ,"7,795,776"
9/3/2012, $60.08 , $59.83 , $60.20 , $59.83 ,"6,292,870"
12/3/2012, $60.68 , $60.17 , $60.90 , $60.09 ,"7,576,763"
13/3/2012, $61.00 , $60.93 , $61.08 , $60.52 ,"8,734,596"
14/3/2012, $61.08 , $60.84 , $61.15 , $60.69 ,"6,374,963"
15/3/2012, $61.23 , $60.89 , $61.26 , $60.78 ,"6,755,170"
16/3/2012, $60.84 , $61.41 , $61.47 , $60.77 ,"12,077,092"
19/3/2012, $60.74 , $60.58 , $60.88 , $60.46 ,"8,251,968"
20/3/2012, $60.60 , $60.33 , $60.86 , $60.29 ,"7,911,521"
21/3/2012, $60.56 , $60.45 , $60.72 , $60.37 ,"7,302,803"
22/3/2012, $60.65 , $60.23 , $60.77 , $60.23 ,"5,710,936"
23/3/2012, $60.75 , $60.61 , $60.85 , $60.41 ,"6,957,627"
26/3/2012, $61.20 , $60.90 , $61.32 , $60.76 ,"6,214,728"
27/3/2012, $61.09 , $61.35 , $61.50 , $61.02 ,"7,351,506"
28/3/2012, $61.19 , $61.15 , $61.48 , $60.98 ,"7,124,351"
29/3/2012, $60.82 , $60.77 , $60.95 , $60.62 ,"6,691,676"
30/3/2012, $61.20 , $61.07 , $61.42 , $60.92 ,"6,942,445"
2/4/2012, $61.36 , $61.08 , $61.49 , $60.97 ,"6,465,856"
3/4/2012, $60.65 , $61.14 , $61.41 , $60.24 ,"11,180,059"
4/4/2012, $60.26 , $60.53 , $60.59 , $60.02 ,"10,851,616"
5/4/2012, $60.67 , $60.20 , $60.69 , $60.07 ,"6,528,712"
9/4/2012, $60.13 , $60.22 , $60.34 , $60.08 ,"6,835,088"
10/4/2012, $59.93 , $60.03 , $60.39 , $59.55 ,"9,553,144"
11/4/2012, $59.80 , $60.29 , $60.29 , $59.66 ,"7,748,050"
12/4/2012, $60.14 , $59.80 , $60.20 , $59.56 ,"7,367,649"
13/4/2012, $59.77 , $60.00 , $60.21 , $59.75 ,"6,695,991"
16/4/2012, $60.58 , $59.94 , $60.81 , $59.87 ,"6,844,578"
17/4/2012, $61.87 , $61.11 , $61.95 , $61.09 ,"10,676,308"
18/4/2012, $62.06 , $61.55 , $62.25 , $61.55 ,"7,957,298"
19/4/2012, $61.75 , $61.96 , $62.05 , $61.47 ,"6,379,504"
20/4/2012, $62.45 , $61.70 , $62.49 , $61.66 ,"8,997,648"
23/4/2012, $59.54 , $59.15 , $60.24 , $59.13 ,"38,007,283"
24/4/2012, $57.77 , $59.26 , $59.35 , $57.65 ,"30,099,452"
25/4/2012, $57.36 , $57.91 , $58.43 , $57.18 ,"28,012,728"
26/4/2012, $58.95 , $57.59 , $59.43 , $57.57 ,"25,095,703"
27/4/2012, $59.03 , $59.18 , $59.46 , $58.94 ,"8,521,380"
30/4/2012, $58.91 , $58.82 , $58.99 , $58.53 ,"7,482,877"
1/5/2012, $59.07 , $58.95 , $59.27 , $58.48 ,"9,916,168"
2/5/2012, $59.01 , $58.96 , $59.32 , $58.82 ,"7,347,634"
3/5/2012, $58.99 , $59.20 , $59.20 , $58.81 ,"6,892,609"
4/5/2012, $58.70 , $58.86 , $59.18 , $58.68 ,"6,953,880"
7/5/2012, $59.19 , $58.55 , $59.36 , $58.55 ,"8,659,390"
8/5/2012, $59.05 , $59.06 , $59.37 , $58.63 ,"10,273,782"
9/5/2012, $59.03 , $58.48 , $59.24 , $58.27 ,"11,158,088"
10/5/2012, $59.19 , $59.35 , $59.61 , $59.09 ,"7,740,689"
11/5/2012, $59.42 , $59.08 , $59.65 , $58.81 ,"7,473,540"
14/5/2012, $59.07 , $59.09 , $59.55 , $58.92 ,"6,201,061"
15/5/2012, $59.35 , $58.95 , $59.65 , $58.95 ,"10,561,363"
16/5/2012, $59.19 , $59.53 , $59.66 , $59.16 ,"10,838,704"
17/5/2012, $61.68 , $61.34 , $62.50 , $61.25 ,"29,295,156"
18/5/2012, $62.43 , $61.87 , $62.63 , $61.76 ,"16,631,181"
21/5/2012, $63.04 , $62.38 , $63.10 , $62.14 ,"11,150,092"
22/5/2012, $63.73 , $62.99 , $63.95 , $62.90 ,"12,074,555"
23/5/2012, $64.58 , $63.39 , $64.69 , $63.29 ,"15,682,158"
24/5/2012, $65.07 , $64.71 , $65.18 , $64.46 ,"11,303,256"
25/5/2012, $65.31 , $64.86 , $65.50 , $64.80 ,"10,180,866"
29/5/2012, $65.68 , $65.40 , $65.76 , $65.21 ,"10,037,047"
30/5/2012, $65.44 , $65.41 , $65.95 , $65.33 ,"9,980,444"
31/5/2012, $65.82 , $65.40 , $66.66 , $65.38 ,"16,771,273"
1/6/2012, $65.55 , $65.43 , $65.88 , $65.13 ,"15,302,052"
4/6/2012, $65.99 , $65.90 , $66.13 , $65.40 ,"13,877,773"
5/6/2012, $65.50 , $65.74 , $65.90 , $65.43 ,"9,341,251"
6/6/2012, $65.93 , $65.60 , $65.97 , $65.46 ,"10,847,071"
7/6/2012, $65.87 , $66.08 , $66.08 , $65.78 ,"12,547,088"
8/6/2012, $68.22 , $66.19 , $68.23 , $66.08 ,"18,012,544"
11/6/2012, $67.53 , $68.39 , $68.48 , $67.47 ,"10,493,601"
12/6/2012, $67.72 , $67.67 , $67.85 , $67.30 ,"8,988,074"
13/6/2012, $67.07 , $67.59 , $67.75 , $66.96 ,"10,748,883"
14/6/2012, $67.63 , $67.10 , $67.79 , $67.09 ,"9,995,384"
15/6/2012, $67.75 , $68.05 , $68.06 , $67.59 ,"12,751,217"
18/6/2012, $68.12 , $67.47 , $68.28 , $67.43 ,"7,553,498"
19/6/2012, $67.81 , $68.09 , $68.25 , $67.70 ,"7,906,200"
20/6/2012, $68.52 , $67.86 , $68.54 , $67.78 ,"8,990,501"
21/6/2012, $67.70 , $68.49 , $68.66 , $67.68 ,"9,843,620"
22/6/2012, $67.30 , $68.09 , $68.35 , $67.19 ,"11,405,910"
25/6/2012, $68.18 , $67.06 , $68.23 , $67.06 ,"11,830,506"
26/6/2012, $68.58 , $68.48 , $68.92 , $68.25 ,"10,812,968"
27/6/2012, $68.59 , $68.59 , $68.75 , $68.26 ,"8,798,110"
28/6/2012, $68.30 , $67.92 , $68.35 , $67.49 ,"8,578,654"
29/6/2012, $69.72 , $68.94 , $69.72 , $68.56 ,"10,672,501"
2/7/2012, $69.35 , $69.60 , $69.95 , $69.15 ,"10,426,433"
3/7/2012, $70.75 , $69.65 , $70.77 , $69.30 ,"9,394,728"
5/7/2012, $71.08 , $70.37 , $71.30 , $70.37 ,"12,444,784"
6/7/2012, $71.36 , $70.73 , $71.36 , $70.73 ,"8,009,238"
9/7/2012, $71.76 , $71.26 , $71.76 , $71.02 ,"11,150,896"
10/7/2012, $72.11 , $71.93 , $72.58 , $71.64 ,"13,331,910"
11/7/2012, $72.26 , $72.13 , $72.44 , $71.78 ,"12,244,489"
12/7/2012, $72.31 , $72.07 , $72.62 , $71.64 ,"10,195,703"
13/7/2012, $73.18 , $72.27 , $73.24 , $72.15 ,"8,180,028"
16/7/2012, $72.98 , $72.92 , $73.18 , $72.58 ,"8,084,253"
17/7/2012, $73.10 , $72.90 , $73.10 , $72.31 ,"12,176,401"
18/7/2012, $72.85 , $72.89 , $73.46 , $72.72 ,"9,495,239"
19/7/2012, $71.53 , $72.85 , $72.86 , $70.23 ,"16,878,096"
20/7/2012, $72.25 , $71.46 , $72.49 , $71.31 ,"11,053,660"
23/7/2012, $71.85 , $71.62 , $71.99 , $71.26 ,"6,657,500"
24/7/2012, $72.14 , $71.68 , $72.24 , $71.45 ,"7,476,793"
25/7/2012, $72.08 , $72.26 , $72.46 , $71.87 ,"6,981,820"
26/7/2012, $73.67 , $72.70 , $73.95 , $72.69 ,"8,192,305"
27/7/2012, $74.52 , $73.84 , $74.80 , $73.79 ,"10,861,477"
30/7/2012, $74.98 , $74.46 , $75.24 , $74.45 ,"9,145,564"
31/7/2012, $74.43 , $74.76 , $74.98 , $74.43 ,"8,324,855"
